image_name,object_id,class_label,review_reason,bbox_status,class_status,small_distant_status,occlusion_status,truncation_status,ambiguity_status,final_status,qa_notes
image_03.jpg,C03_OBJ_002,Car,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Small distant vehicle with substantial occlusion. Bounding box and assigned attributes are visually consistent.
image_04.jpg,C04_OBJ_003,Traffic Cone,Size,PASS,PASS,CORRECT,PASS,PASS,PASS,CORRECT,"Small distant traffic cone. Bounding box and class are valid, but small_distant should be changed from False to True."
image_04.jpg,C04_OBJ_004,Traffic Cone,Size,PASS,PASS,CORRECT,PASS,PASS,PASS,CORRECT,"Small distant traffic cone. Bounding box and class are valid, but small_distant should be changed from False to True."
image_08.jpg,C08_OBJ_005,Traffic Cone,Size,PASS,PASS,CORRECT,PASS,PASS,PASS,CORRECT,Small distant traffic cone with partial occlusion and boundary ambiguity. Change small_distant from False to True.
image_05.jpg,C05_OBJ_003,Car,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Small distant vehicle with substantial occlusion. Bounding box and class label are appropriate. Heavy occlusion and class ambiguity are consistent with the visible object.
image_06.jpg,C06_OBJ_001,Traffic Cone,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Small distant traffic cone substantially occluded by foreground vegetation. Bounding box and class label are appropriate. Heavy occlusion and boundary ambiguity are consistent with the visible object.
image_06.jpg,C06_OBJ_002,Traffic Cone,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Small distant traffic cone with substantial occlusion. Bounding box and class label are appropriate. Heavy occlusion and boundary ambiguity are consistent with the visible object.
image_07.jpg,C07_OBJ_003,Car,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Small distant vehicle with heavy occlusion. Boundary ambiguity is consistent with the substantially occluded object extent.
image_07.jpg,C07_OBJ_005,Car,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Small distant car with heavy occlusion. Bounding box and class are valid. Occlusion and boundary ambiguity are consistent with comparable nearby vehicles.
image_07.jpg,C07_OBJ_004,Car,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Small distant vehicle with heavy occlusion. Bounding box appropriately follows the visible object extent. Car class and boundary annotation are acceptable.
image_07.jpg,C07_OBJ_002,Trailer,Attribute,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Trailer is partially occluded and partially truncated. Bounding box appropriately follows the visible object extent. Trailer class and boundary annotation are acceptable.
